tanggal,stasiun,pm10,so2,co,o3,no2,categori
6/19/2020,DKI1 (Bunderan HI),57,15,6,47,11,SEDANG
6/20/2020,DKI1 (Bunderan HI),61,17,12,67,17,SEDANG
6/21/2020,DKI1 (Bunderan HI),63,16,6,61,10,SEDANG
6/22/2020,DKI1 (Bunderan HI),67,20,6,34,11,SEDANG
6/23/2020,DKI1 (Bunderan HI),53,18,7,41,15,SEDANG
6/24/2020,DKI1 (Bunderan HI),53,15,7,77,11,SEDANG
6/25/2020,DKI1 (Bunderan HI),76,19,13,64,23,SEDANG
6/26/2020,DKI1 (Bunderan HI),70,18,10,61,19,SEDANG
6/27/2020,DKI1 (Bunderan HI),65,20,6,42,14,SEDANG
6/28/2020,DKI1 (Bunderan HI),72,21,6,47,11,SEDANG
6/29/2020,DKI1 (Bunderan HI),68,20,5,57,11,SEDANG
6/30/2020,DKI1 (Bunderan HI),75,20,6,53,15,SEDANG
7/1/2020,DKI1 (Bunderan HI),69,18,6,65,11,SEDANG
7/2/2020,DKI1 (Bunderan HI),68,17,7,47,11,SEDANG
7/3/2020,DKI1 (Bunderan HI),54,18,7,32,9,SEDANG
7/4/2020,DKI1 (Bunderan HI),70,18,8,43,12,SEDANG
7/5/2020,DKI1 (Bunderan HI),63,20,5,40,9,SEDANG
7/6/2020,DKI1 (Bunderan HI),58,21,7,39,12,SEDANG
7/7/2020,DKI1 (Bunderan HI),53,22,6,33,12,SEDANG
7/8/2020,DKI1 (Bunderan HI),60,20,6,59,15,SEDANG
7/9/2020,DKI1 (Bunderan HI),54,16,8,67,12,SEDANG
7/10/2020,DKI1 (Bunderan HI),62,19,8,80,17,SEDANG
7/11/2020,DKI1 (Bunderan HI),73,17,9,47,16,SEDANG
7/12/2020,DKI1 (Bunderan HI),62,17,6,60,9,SEDANG
7/13/2020,DKI1 (Bunderan HI),61,19,5,44,10,SEDANG
7/14/2020,DKI1 (Bunderan HI),64,21,6,55,16,SEDANG
7/15/2020,DKI1 (Bunderan HI),57,16,6,31,12,SEDANG
7/16/2020,DKI1 (Bunderan HI),48,19,5,24,11,BAIK
7/17/2020,DKI1 (Bunderan HI),56,24,7,39,10,SEDANG
